scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc
s012,90,6.8380,discrete_only,discrete_only,2,true,,1397.3040182721882,5.1034268608262465,1.2418,51.2,3.2484,270342,1397.304,"[5.1018, 5.1034]","[5.1018, 5.1034]",5.1034268608262465
s012,80,6.0783,discrete_only,discrete_only,2,true,,1397.3040182721882,5.1034268608262465,1.2418,51.4,3.2592,270342,1397.304,"[5.1018, 5.1034]","[5.1018, 5.1034]",5.1034268608262465
s012,70,5.3185,discrete_only,discrete_only,2,true,,1397.3040182721882,5.1034268608262465,1.2418,50.9,3.2249,270342,1397.304,"[5.1018, 5.1034]","[5.1018, 5.1034]",5.1034268608262465
s012,60,4.5587,discrete_only,discrete_only,2,false,unc_violated,1420.160370292587,4.939215649908033,,108.2,6.8603,1000000,1420.16,"[4.9386, 4.9392]","[4.9386, 4.9392]",4.939215649908033
s012,50,3.7989,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s012,40,3.0391,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s012,30,2.2793,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s013,100,10.3001,discrete_only,discrete_only,2,true,,854.7355331663507,6.56936406825054,1.3923,16.6,1.0829,2050,854.736,"[6.4274, 6.5694]","[6.4274, 6.5694]",6.56936406825054
s013,90,9.2701,discrete_only,discrete_only,2,true,,854.7355331663507,6.56936406825054,1.3923,16.6,1.0846,2050,854.736,"[6.4274, 6.5694]","[6.4274, 6.5694]",6.56936406825054
s013,80,8.2401,discrete_only,discrete_only,2,true,,854.7355331663507,6.56936406825054,1.3923,16.7,1.0876,2050,854.736,"[6.4274, 6.5694]","[6.4274, 6.5694]",6.56936406825054
s013,70,7.2101,discrete_only,discrete_only,2,true,,854.7355331663507,6.56936406825054,1.3923,16.7,1.0886,2050,854.736,"[6.4274, 6.5694]","[6.4274, 6.5694]",6.56936406825054
s013,60,6.1801,discrete_only,discrete_only,2,true,,834.3413642071902,5.416184694113325,1.3591,16.5,1.0748,2509,834.341,"[5.0858, 5.4162]","[5.0858, 5.4162]",5.416184694113325
s013,50,5.1501,discrete_only,discrete_only,2,false,unc_violated,834.3413642071902,5.416184694113325,,87.2,5.6908,1000000,834.341,"[5.0858, 5.4162]","[5.0858, 5.4162]",5.416184694113325
s013,40,4.1200,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s013,30,3.0900,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s014,100,7.1314,discrete_only,discrete_only,2,true,,600.0,1.226622613672058,1.0000,16.3,1.0813,6,600.0,"[0.8665, 1.2266]","[0.8665, 1.2266]",1.226622613672058
s014,90,6.4183,discrete_only,discrete_only,2,true,,600.0,1.226622613672058,1.0000,16.3,1.0772,6,600.0,"[0.8665, 1.2266]","[0.8665, 1.2266]",1.226622613672058
s014,80,5.7051,discrete_only,discrete_only,2,true,,600.0,1.226622613672058,1.0000,16.2,1.0689,6,600.0,"[0.8665, 1.2266]","[0.8665, 1.2266]",1.226622613672058
s014,70,4.9920,discrete_only,discrete_only,2,true,,600.0,1.226622613672058,1.0000,16.1,1.0674,6,600.0,"[0.8665, 1.2266]","[0.8665, 1.2266]",1.226622613672058
s014,60,4.2789,discrete_only,discrete_only,2,true,,600.0,1.226622613672058,1.0000,16.2,1.0689,6,600.0,"[0.8665, 1.2266]","[0.8665, 1.2266]",1.226622613672058
s014,50,3.5657,discrete_only,discrete_only,2,true,,600.0,1.226622613672058,1.0000,16.1,1.0658,6,600.0,"[0.8665, 1.2266]","[0.8665, 1.2266]",1.226622613672058
s014,40,2.8526,discrete_only,discrete_only,2,true,,600.0,1.226622613672058,1.0000,16.1,1.0652,6,600.0,"[0.8665, 1.2266]","[0.8665, 1.2266]",1.226622613672058
s014,30,2.1394,discrete_only,discrete_only,2,true,,600.0,1.226622613672058,1.0000,16.1,1.0666,6,600.0,"[0.8665, 1.2266]","[0.8665, 1.2266]",1.226622613672058
s015,100,6.0115,discrete_only,discrete_only,2,true,,1119.361186262667,2.8896112423604947,1.1477,17.7,1.1380,9626,1119.361,"[2.0429, 2.8896]","[2.0429, 2.8896]",2.8896112423604947
s015,90,5.4104,discrete_only,discrete_only,2,true,,1119.361186262667,2.8896112423604947,1.1477,17.5,1.1240,9626,1119.361,"[2.0429, 2.8896]","[2.0429, 2.8896]",2.8896112423604947
s015,80,4.8092,discrete_only,discrete_only,2,true,,1119.361186262667,2.8896112423604947,1.1477,17.5,1.1258,9626,1119.361,"[2.0429, 2.8896]","[2.0429, 2.8896]",2.8896112423604947
s015,70,4.2081,discrete_only,discrete_only,2,true,,1119.361186262667,2.8896112423604947,1.1477,17.5,1.1250,9626,1119.361,"[2.0429, 2.8896]","[2.0429, 2.8896]",2.8896112423604947
s015,60,3.6069,discrete_only,discrete_only,2,true,,1119.361186262667,2.8896112423604947,1.1477,17.5,1.1196,9626,1119.361,"[2.0429, 2.8896]","[2.0429, 2.8896]",2.8896112423604947
s015,50,3.0058,discrete_only,discrete_only,2,true,,1119.361186262667,2.8896112423604947,1.1477,17.5,1.1257,9626,1119.361,"[2.0429, 2.8896]","[2.0429, 2.8896]",2.8896112423604947
s015,40,2.4046,discrete_only,discrete_only,2,false,unc_violated,1154.735533166351,2.8896112411576396,,97.5,6.2561,1000000,1154.736,"[2.0429, 2.8896]","[2.0429, 2.8896]",2.8896112411576396
s015,30,1.8035,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
