node,parent,agent,x,y,heading,dist,unc,c11,c12,c22,on_solution
112,89,1,372.415268,459.691532,0.637864,750.000000,0.943974,1.273571,0.157354,0.642913,false
112,89,2,-261.056951,550.250018,2.219742,750.000000,9.796152,98.882010,-36.863305,106.875925,false
113,105,1,131.308330,596.221178,2.366632,2250.000000,4.870162,36.942154,-26.667780,34.479218,false
113,105,2,384.653719,-744.830480,5.668618,2250.000000,12.595709,189.714717,5.121736,132.813372,false
114,89,1,-150.974695,-60.855297,4.142452,600.000000,8.856241,76.574731,29.722500,91.873168,false
114,89,2,-150.974695,-60.855297,4.142452,600.000000,8.856241,76.574731,29.722500,91.873168,false
115,6,1,224.612165,-665.753843,-1.994818,1050.000000,5.651134,24.177162,26.982409,72.296118,false
115,6,2,-214.658872,397.173576,-5.256883,1050.000000,12.071218,145.662693,17.150325,147.785207,false
116,6,1,511.760595,-145.628165,0.822985,750.000000,3.312056,14.093553,10.012316,15.651213,false
116,6,2,-370.054442,140.556708,-5.256883,750.000000,10.165030,119.442113,-12.388286,90.672454,false
117,37,1,990.857980,48.932397,-0.395376,1200.000000,7.256328,44.565589,-28.905193,80.959004,false
117,37,2,695.333671,-112.098233,-1.291118,1200.000000,6.411610,24.610617,-25.483987,95.054994,false
118,82,1,505.946250,304.700564,1.285291,1800.000000,2.817898,11.127222,-0.806809,5.724991,false
118,82,2,1036.560569,-427.787880,-1.276148,1800.000000,10.987152,97.001266,-18.181651,153.640147,false
119,41,1,552.124038,307.880343,1.242388,1350.000000,1.626718,3.800577,-0.467776,1.900040,false
119,41,2,1057.476693,-416.802747,-0.356077,1350.000000,4.512538,47.504692,-14.535616,13.176292,false
120,42,1,971.477195,438.592073,1.501469,1650.000000,12.523273,155.155744,-45.733384,172.007375,false
120,42,2,971.477195,438.592073,1.501469,1650.000000,12.523273,155.155744,-45.733384,172.007375,false
121,39,1,215.573016,23.928879,-2.317036,900.000000,6.466369,51.385322,23.249528,44.544729,false
121,39,2,244.762642,251.335617,-4.005602,900.000000,6.493469,49.488129,17.996385,42.470163,false
122,105,1,411.924036,137.041186,4.436322,1950.000000,5.029076,17.977852,9.618559,40.726896,false
122,105,2,-66.863514,-360.987783,2.164030,1950.000000,10.661643,125.046389,36.780845,114.148367,false
123,31,1,888.191024,-661.579628,-1.710863,1650.000000,7.377668,38.595573,5.346024,77.501197,false
123,31,2,-75.231424,-377.039495,4.243962,1650.000000,10.926780,104.067190,-1.952098,137.015914,false
124,25,1,1066.294776,-242.898507,1.272442,1500.000000,5.296923,32.408447,-20.619835,37.409838,false
124,25,2,1115.276615,-449.664762,-0.791652,1500.000000,5.267021,33.258073,-21.762441,37.380261,false
125,69,1,943.793829,-268.829067,-1.149085,1350.000000,8.101828,79.840669,3.187731,54.091733,false
125,69,2,942.929998,-297.293110,-1.322566,1350.000000,7.729502,72.096505,2.895173,49.626144,false
126,114,1,-370.187767,143.951023,2.390158,900.000000,11.212745,120.503895,-3.533962,131.277338,false
126,114,2,-370.187767,143.951023,2.390158,900.000000,11.212745,120.503895,-3.533962,131.277338,false
127,31,1,1110.160193,-636.905758,-1.209320,1650.000000,10.320954,109.595684,-31.878950,112.807583,false
127,31,2,431.665429,356.523227,0.829894,1650.000000,0.945538,1.265753,0.133783,0.645632,false
128,7,1,-93.556164,534.228576,2.659802,900.000000,6.271555,91.442810,-40.028334,34.440168,false
128,7,2,-93.556164,534.228576,2.659802,900.000000,6.271555,91.442810,-40.028334,34.440168,false
129,53,1,-67.671357,-112.856124,4.887074,1350.000000,10.932207,87.523023,-3.789827,163.359956,false
