helper,layer,node,arc,helper_unc,primary_unc,path
helper1,7,5,900.0,10.989825049290104,10.687570717821313,1;175;133;72;18;11;5
helper1,7,6,900.0,10.989825049290104,10.687570717821313,1;175;133;72;65;59;6
helper1,7,112,900.0,11.044266100463904,10.687570717821313,1;175;133;72;65;59;112
helper1,7,113,900.0,11.044266100463906,10.687570717821313,1;175;133;72;65;118;113
helper1,7,166,900.0,11.069032323879766,10.687570717821313,1;175;133;72;65;118;166
helper1,7,58,900.0,11.16764248696896,10.687570717821313,1;175;133;72;18;11;58
helper1,7,170,900.0,11.16764248696896,10.687570717821313,1;175;133;72;65;118;170
helper1,7,43,900.0,1.4430718535315175,10.687570717821314,1;175;133;79;80;86;43
helper1,7,355,900.0,1.0540775523770356,10.735158215652419,1;175;236;285;344;349;355
helper1,7,300,900.0,2.7350878872253905,10.735158215652419,1;175;236;285;344;349;300
helper1,7,220,900.0,10.778742649191694,10.735158215652419,1;175;236;285;280;227;220
helper1,7,221,900.0,10.778742649191694,10.735158215652419,1;175;236;285;280;274;221
helper1,7,328,900.0,10.888579228397667,10.735158215652419,1;175;236;285;339;334;328
helper1,7,327,900.0,10.889341899346507,10.735158215652419,1;175;236;285;280;274;327
helper1,7,168,900.0,10.890278444405286,10.735158215652419,1;175;236;285;280;227;168
helper1,7,275,900.0,11.150255747019754,10.735158215652419,1;175;236;285;339;334;275
helper1,7,174,900.0,11.150967979167756,10.735158215652419,1;175;236;285;280;227;174
helper1,8,153,1050.0,4.891171020345619,4.591857234056776,1;127;73;74;80;86;92;153
helper1,8,49,1050.0,1.0173728919067668,4.643090448038821,1;127;73;74;80;86;92;49
helper1,8,98,1050.0,4.305952693895529,4.643090448038821,1;127;73;74;80;86;92;98
helper1,8,43,1050.0,1.443065672741533,5.134464132194434,1;127;73;25;26;81;86;43
helper1,8,92,1050.0,2.6885661502323206,5.134464132194434,1;127;73;25;26;81;86;92
helper1,8,258,1050.0,4.628680920399147,5.47067636651602,1;230;284;344;349;355;306;258
helper1,8,258,1050.0,4.62868162240013,5.470677647462956,1;230;235;290;350;355;306;258
helper1,8,92,1050.0,2.8282257750948987,5.720434824912249,1;127;73;74;31;32;87;92
helper1,8,142,1050.0,4.64195212378285,5.720434824912249,1;127;73;74;31;32;87;142
helper1,8,92,1050.0,2.828229082550336,5.72045467242626,1;175;133;79;31;32;87;92
helper1,8,142,1050.0,4.641955739233829,5.72045467242626,1;175;133;79;31;32;87;142
helper1,8,258,1050.0,5.577471838708452,5.969821199525427,1;230;284;344;349;300;301;258
helper1,8,307,1050.0,5.079983574530222,6.048824963867715,1;230;284;344;349;355;306;307
helper1,8,251,1050.0,5.245350635420602,6.048824963867715,1;230;284;344;349;355;306;251
helper1,8,307,1050.0,5.07998629918996,6.048828660466637,1;230;235;290;350;355;306;307
helper1,8,251,1050.0,5.245349493052179,6.048828660466637,1;230;235;290;350;355;306;251
helper1,8,362,1050.0,1.2183250796516076,6.219327504971717,1;230;284;344;349;300;301;362
helper1,8,307,1050.0,5.065022435313978,6.219327504971717,1;230;284;344;349;300;301;307
helper1,8,189,1050.0,6.055729406142277,6.256871972669418,1;127;73;25;26;81;141;189
helper1,8,313,1050.0,6.2443365270819795,6.5302519128665795,1;230;235;290;295;301;307;313
helper1,8,264,1050.0,6.97393876958095,6.5302519128665795,1;230;235;290;295;301;307;264
helper1,8,368,1050.0,7.224461042518932,6.5302519128665795,1;230;235;290;295;301;307;368
helper1,8,36,1050.0,1.2270494524802156,6.621568229509251,1;127;73;74;135;140;91;36
helper1,8,36,1050.0,1.2277792731258035,6.6442179756853115,1;230;235;241;192;145;91;36
helper1,8,253,1050.0,6.795528007261041,6.935203944051578,1;230;284;344;349;300;252;253
helper1,8,191,1050.0,6.8607349755854035,6.935203944051578,1;230;284;344;349;300;252;191
helper1,8,198,1050.0,5.927755442019953,6.938216916165427,1;230;284;344;349;300;252;198
helper1,8,204,1050.0,6.924230337401813,7.1446902577314715,1;230;235;290;295;301;258;204
helper1,8,192,1050.0,6.8591046117290375,7.227039372919596,1;230;284;344;349;300;245;192
helper1,8,238,1050.0,6.908583694026425,7.227039372919596,1;230;284;344;349;300;245;238
helper1,8,259,1050.0,7.242478504342395,7.243703564376921,1;230;235;290;295;301;258;259
helper1,8,197,1050.0,7.470739034196945,7.243703564376921,1;230;235;290;295;301;258;197
helper1,8,357,1050.0,1.09157024704806,7.374891903859888,1;230;284;289;246;247;302;357
helper1,8,312,1050.0,3.8617109327636103,7.387818825478845,1;230;284;344;349;355;361;312
