scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,clgbt_iterations,clgbt_tree_size,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc,refinement_min_slack,refinement_status
s023,90,4.5868,clgbt,clgbt,2,true,,1038.0014660107345,4.364438165395855,1.6326,12.9,0.8402,29,21,1038.001,"[4.0726, 4.3644]","[4.0733, 4.3651]",4.365099540352538,1.000090628366923e-9,seed_only
s023,80,4.0771,clgbt,clgbt,2,true,,1595.5498342771662,2.582918311781752,2.5095,16.2,1.0558,10108,5383,1595.55,"[0.6079, 2.5829]","[0.8495, 2.7212]",2.7212213882173204,4.655644393940228e-6,optimized
s023,70,3.5675,clgbt,clgbt,2,true,,1593.3184166813203,2.525230887578677,2.5060,16.2,1.0550,10108,5383,1593.318,"[0.6179, 2.5252]","[0.8495, 2.7212]",2.7212213882173204,3.662524284003127e-6,optimized
s023,60,3.0578,clgbt,clgbt,2,true,,1502.581552225323,2.814419505686946,2.3633,18.1,1.1830,10108,5383,1502.582,"[0.6575, 2.8144]","[0.8495, 2.7212]",2.7212213882173204,7.614864939997634e-9,optimized
s023,50,2.5482,clgbt,clgbt,2,true,,1679.1380395931603,1.3446963496052566,2.6410,17.0,1.1093,20873,10419,1679.138,"[0.6364, 1.3447]","[0.8969, 1.6204]",1.6203952702483597,1.0000906248974761e-9,seed_only
s023,40,2.0386,clgbt,clgbt,2,true,,1679.1380395931603,1.3446963496052566,2.6410,17.2,1.1222,20873,10419,1679.138,"[0.6364, 1.3447]","[0.8969, 1.6204]",1.6203952702483597,1.0000906248974761e-9,seed_only
s023,30,1.5289,clgbt,clgbt,2,false,no_solution,null,null,,456.5,29.7534,200000,91323,null,[],[],null,,
s024,100,10.8850,clgbt,clgbt,2,true,,1087.349730993053,6.333222200484831,1.1831,13.9,0.8903,14,11,1087.35,"[6.0695, 6.3332]","[7.1168, 7.4908]",7.490793520011402,1.5731492011838988e-9,optimized
s024,90,9.7965,clgbt,clgbt,2,true,,1087.3936004784996,6.3242026754109055,1.1832,13.8,0.8864,14,11,1087.394,"[6.0663, 6.3242]","[7.1168, 7.4908]",7.490793520011402,7.306829700320927e-9,optimized
s024,80,8.7080,clgbt,clgbt,2,true,,1087.4202391760332,6.327228729232126,1.1832,13.9,0.8878,14,11,1087.42,"[6.0631, 6.3272]","[7.1168, 7.4908]",7.490793520011402,1.7028536185292875e-9,optimized
s024,70,7.6195,clgbt,clgbt,2,true,,1085.8025967671902,6.338903512155443,1.1814,14.9,0.9547,14,11,1085.803,"[6.0211, 6.3389]","[7.1168, 7.4908]",7.490793520011402,9.82124988974098e-10,optimized
s024,60,6.5310,clgbt,clgbt,2,true,,1307.7403974628937,6.328592420748742,1.4229,14.2,0.9072,2163,1672,1307.74,"[5.3549, 6.3286]","[5.225, 5.7131]",5.713129006125098,4.129482329695566e-8,optimized
s024,50,5.4425,clgbt,clgbt,2,true,,1500.7566866293641,5.350763297303173,1.6329,101.7,6.5096,84463,55057,1500.757,"[1.0951, 5.3508]","[1.4975, 5.3508]",5.350763297303173,1.0000906248974761e-9,seed_only
s024,40,4.3540,clgbt,clgbt,2,false,no_solution,null,null,,865.3,55.3955,200000,121904,null,[],[],null,,
s024,30,3.2655,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s025,100,5.2959,clgbt,clgbt,2,true,,1038.0014660107345,4.752957254879361,1.3650,12.9,0.8462,29,16,1038.001,"[4.4792, 4.753]","[4.4795, 4.7532]",4.7531797920365175,1.000090628366923e-9,seed_only
s025,90,4.7663,clgbt,clgbt,2,true,,1038.0014660107345,4.752957254879361,1.3650,12.9,0.8458,29,16,1038.001,"[4.4792, 4.753]","[4.4795, 4.7532]",4.7531797920365175,1.000090628366923e-9,seed_only
s025,80,4.2367,clgbt,clgbt,2,false,recovery_failed,1372.5877668497199,4.135117536603899,,13.9,0.9087,1390,873,1372.588,"[0.6792, 4.1351]","[0.9558, 3.7395]",3.739543073762544,-0.0016485103677846523,recovery_failed
s025,70,3.7071,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s025,60,3.1775,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s025,50,2.6480,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s025,40,2.1184,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s025,30,1.5888,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s028,100,5.3112,clgbt,clgbt,2,true,,1877.239096740103,4.88168291056033,2.4106,14.4,0.9220,4950,3651,1877.239,"[4.3305, 4.8817]","[4.3355, 5.1891]",5.189090004865934,0.0005549653480359205,optimized
s028,90,4.7800,clgbt,clgbt,2,true,,1674.929396328575,4.387566277806556,2.1508,129.7,8.3256,101896,57635,1674.929,"[3.8717, 4.3876]","[3.878, 4.393]",4.392969634997396,1.0000906248974761e-9,seed_only
s028,80,4.2489,clgbt,clgbt,2,false,no_solution,null,null,,684.8,43.9661,200000,109750,null,[],[],null,,
s028,70,3.7178,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s028,60,3.1867,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s028,50,2.6556,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s028,40,2.1245,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s028,30,1.5933,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s029,100,5.0016,clgbt,clgbt,2,true,,1177.2710911252236,5.001584872358695,1.1883,13.0,0.8355,62,49,1177.271,"[4.8407, 5.0016]","[4.9254, 4.6827]",4.682718974559897,1.8224641305408795e-5,optimized
s029,90,4.5014,clgbt,clgbt,2,true,,1264.822255021639,1.198489659171839,1.2767,12.8,0.8200,177,151,1264.822,"[0.6217, 1.1985]","[0.8573, 3.6265]",3.6264981833057046,0.011129164343657473,optimized
s029,80,4.0013,clgbt,clgbt,2,true,,1264.880680965818,1.1976428496655516,1.2767,13.0,0.8355,177,151,1264.881,"[0.6199, 1.1976]","[0.8573, 3.6265]",3.6264981833057046,0.011165202484896898,optimized
s029,70,3.5011,clgbt,clgbt,2,true,,1519.3066318796111,2.923801351666233,1.5335,35.9,2.3005,39600,29655,1519.307,"[0.6204, 2.9238]","[0.8543, 2.9079]",2.9079022313174714,1.059186350085839e-8,optimized
s029,60,3.0010,clgbt,clgbt,2,false,recovery_failed,1502.2797726637266,2.9054451221306925,,36.3,2.3256,39600,29655,1502.28,"[0.626, 2.9054]","[0.8543, 2.9079]",2.9079022313174714,-0.016983044219682775,recovery_failed
s029,50,2.5008,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s029,40,2.0006,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s029,30,1.5005,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
