scenario_id,seed,goal_dist,n_landmarks,n_obstacles,L_ref,U_ref,U_ref_cont,wall_ref
s035,1102,700.0,3,3,788.810,9.135637188311112,10.045734582793807,16.1
s036,1103,600.0,2,4,637.674,8.223263998807473,8.795972688059507,16.2
s037,1104,800.0,4,5,1000.455,8.279763511306633,6.539419795394121,17.0
s038,1105,800.0,2,4,837.741,8.671647647613788,8.454375059360988,16.5
s039,1106,600.0,3,3,677.783,5.413414337255522,7.429834391022199,16.1
s040,1107,700.0,3,3,704.416,6.017984317258319,7.904610531302723,16.4
s041,1108,600.0,4,4,661.577,7.4389199436835245,8.307795524968055,16.1
s042,1109,700.0,3,4,948.655,9.29365711925134,8.515234751592185,16.4
s043,1110,700.0,3,3,897.701,8.131076107396472,7.008452454456963,16.3
s044,1111,800.0,3,3,1017.454,8.670997174082826,7.495461452334865,16.7
s045,1112,700.0,3,5,774.522,8.853574998740122,7.807227699024671,16.5
s046,1113,800.0,4,5,947.433,5.551098244406211,5.4557569530333225,16.7
s047,1114,600.0,3,4,723.414,6.544163305929093,5.645142173607991,15.8
s048,1115,800.0,3,4,925.052,5.548412094606716,6.906310248979914,16.6
s049,1116,800.0,4,5,986.022,5.685777478857186,6.111253966975421,16.6
s050,1117,700.0,4,5,945.322,4.150253322116607,4.614675002311471,16.2
s051,1118,700.0,2,3,844.023,5.972610085113496,10.929777738837782,16.5
s052,1119,600.0,4,4,963.255,7.389648929660225,7.136656513665619,16.4
s053,1120,600.0,2,5,716.560,4.9906600322346195,7.18909217927643,16.2
s054,1121,800.0,2,3,905.013,8.437855499512509,6.9306012898065035,16.7
s055,1122,800.0,4,5,944.149,4.2209139984842885,5.109531984141568,16.6
s056,1123,600.0,3,5,794.787,7.553617717293265,5.86840608624086,16.1
s057,1124,800.0,3,4,978.725,5.682787196226571,10.686263689099484,16.6
s058,1125,600.0,2,4,709.689,5.206611631593008,5.446839533251822,16.1
s059,1126,700.0,2,3,758.261,8.241705373589015,8.666011681158652,16.3
s060,1127,600.0,3,5,836.529,8.108672752605624,6.317547095854158,16.3
