method,pct,agent,i,x,y
hexspline_cl,100,2,179,1491.579301,163.857551
hexspline_cl,100,2,180,1501.442615,164.421934
hexspline_cl,100,2,181,1511.629788,164.974277
hexspline_cl,100,2,182,1522.187640,165.514855
hexspline_cl,100,2,183,1533.232845,166.051104
hexspline_cl,100,2,184,1544.899544,166.592248
hexspline_cl,100,2,185,1557.321875,167.147512
hexspline_cl,100,2,186,1570.633977,167.726123
hexspline_cl,100,2,187,1584.969990,168.337304
hexspline_cl,100,2,188,1600.464054,168.990282
hexspline_cl,100,2,189,1617.250307,169.694281
hexspline_cl,100,2,190,1635.462889,170.458528
hexspline_cl,100,2,191,1655.235939,171.292246
hexspline_cl,100,2,192,1676.703596,172.204662
hexspline_cl,100,2,193,1700.000000,173.205000
hexspline_cl,70,1,1,0.000000,0.000000
hexspline_cl,70,1,2,23.483314,-0.864522
hexspline_cl,70,1,3,44.116512,-3.307736
hexspline_cl,70,1,4,62.174479,-7.104115
hexspline_cl,70,1,5,77.932099,-12.028131
hexspline_cl,70,1,6,91.664255,-17.854256
hexspline_cl,70,1,7,103.645833,-24.356964
hexspline_cl,70,1,8,114.151717,-31.310727
hexspline_cl,70,1,9,123.456790,-38.490018
hexspline_cl,70,1,10,131.835938,-45.669308
hexspline_cl,70,1,11,139.564043,-52.623071
hexspline_cl,70,1,12,146.915992,-59.125780
hexspline_cl,70,1,13,154.166667,-64.951905
hexspline_cl,70,1,14,161.542728,-69.926038
hexspline_cl,70,1,15,169.077932,-74.073238
hexspline_cl,70,1,16,176.757812,-77.468679
hexspline_cl,70,1,17,184.567901,-80.187537
hexspline_cl,70,1,18,192.493731,-82.304990
hexspline_cl,70,1,19,200.520833,-83.896211
hexspline_cl,70,1,20,208.634742,-85.036378
hexspline_cl,70,1,21,216.820988,-85.800665
hexspline_cl,70,1,22,225.065104,-86.264249
hexspline_cl,70,1,23,233.352623,-86.502306
hexspline_cl,70,1,24,241.669078,-86.590011
hexspline_cl,70,1,25,250.000000,-86.602540
hexspline_cl,70,1,26,258.333333,-86.602540
hexspline_cl,70,1,27,266.666667,-86.602540
hexspline_cl,70,1,28,275.000000,-86.602540
hexspline_cl,70,1,29,283.333333,-86.602540
hexspline_cl,70,1,30,291.666667,-86.602540
hexspline_cl,70,1,31,300.000000,-86.602540
hexspline_cl,70,1,32,308.333333,-86.602540
hexspline_cl,70,1,33,316.666667,-86.602540
hexspline_cl,70,1,34,325.000000,-86.602540
hexspline_cl,70,1,35,333.333333,-86.602540
hexspline_cl,70,1,36,341.666667,-86.602540
hexspline_cl,70,1,37,350.000000,-86.602540
hexspline_cl,70,1,38,358.333333,-86.602540
hexspline_cl,70,1,39,366.666667,-86.602540
hexspline_cl,70,1,40,375.000000,-86.602540
hexspline_cl,70,1,41,383.333333,-86.602540
hexspline_cl,70,1,42,391.666667,-86.602540
hexspline_cl,70,1,43,400.000000,-86.602540
hexspline_cl,70,1,44,408.333333,-86.602540
hexspline_cl,70,1,45,416.666667,-86.602540
hexspline_cl,70,1,46,425.000000,-86.602540
hexspline_cl,70,1,47,433.333333,-86.602540
hexspline_cl,70,1,48,441.666667,-86.602540
hexspline_cl,70,1,49,450.000000,-86.602540
hexspline_cl,70,1,50,458.333333,-86.602540
hexspline_cl,70,1,51,466.666667,-86.602540
hexspline_cl,70,1,52,475.000000,-86.602540
hexspline_cl,70,1,53,483.333333,-86.602540
hexspline_cl,70,1,54,491.666667,-86.602540
hexspline_cl,70,1,55,500.000000,-86.602540
hexspline_cl,70,1,56,508.333333,-86.602540
hexspline_cl,70,1,57,516.666667,-86.602540
hexspline_cl,70,1,58,525.000000,-86.602540
hexspline_cl,70,1,59,533.333333,-86.602540
hexspline_cl,70,1,60,541.666667,-86.602540
hexspline_cl,70,1,61,550.000000,-86.602540
hexspline_cl,70,1,62,558.328511,-86.610893
hexspline_cl,70,1,63,566.628086,-86.669363
hexspline_cl,70,1,64,574.869792,-86.828068
hexspline_cl,70,1,65,583.024691,-87.137124
hexspline_cl,70,1,66,591.063850,-87.646649
hexspline_cl,70,1,67,598.958333,-88.406760
hexspline_cl,70,1,68,606.679205,-89.467574
hexspline_cl,70,1,69,614.197531,-90.879209
hexspline_cl,70,1,70,621.484375,-92.691781
hexspline_cl,70,1,71,628.510802,-94.955409
hexspline_cl,70,1,72,635.247878,-97.720208
hexspline_cl,70,1,73,641.666667,-101.036297
hexspline_cl,70,1,74,647.752701,-104.928734
hexspline_cl,70,1,75,653.549383,-109.322343
hexspline_cl,70,1,76,659.114583,-114.116889
hexspline_cl,70,1,77,664.506173,-119.212139
hexspline_cl,70,1,78,669.782022,-124.507858
hexspline_cl,70,1,79,675.000000,-129.903811
hexspline_cl,70,1,80,680.217978,-135.299764
hexspline_cl,70,1,81,685.493827,-140.595482
hexspline_cl,70,1,82,690.885417,-145.690732
hexspline_cl,70,1,83,696.450617,-150.485278
hexspline_cl,70,1,84,702.247299,-154.878887
hexspline_cl,70,1,85,708.333333,-158.771324
hexspline_cl,70,1,86,714.752122,-162.087413
hexspline_cl,70,1,87,721.489198,-164.852212
hexspline_cl,70,1,88,728.515625,-167.115840
hexspline_cl,70,1,89,735.802469,-168.928412
hexspline_cl,70,1,90,743.320795,-170.340047
hexspline_cl,70,1,91,751.041667,-171.400861
hexspline_cl,70,1,92,758.936150,-172.160972
hexspline_cl,70,1,93,766.975309,-172.670497
hexspline_cl,70,1,94,775.130208,-172.979553
hexspline_cl,70,1,95,783.371914,-173.138258
hexspline_cl,70,1,96,791.671489,-173.196728
hexspline_cl,70,1,97,800.000000,-173.205081
hexspline_cl,70,1,98,808.328511,-173.213434
hexspline_cl,70,1,99,816.628086,-173.271904
hexspline_cl,70,1,100,824.869792,-173.430608
hexspline_cl,70,1,101,833.024691,-173.739664
hexspline_cl,70,1,102,841.063850,-174.249189
hexspline_cl,70,1,103,848.958333,-175.009300
hexspline_cl,70,1,104,856.679205,-176.070115
hexspline_cl,70,1,105,864.197531,-177.481749
hexspline_cl,70,1,106,871.484375,-179.294322
hexspline_cl,70,1,107,878.510802,-181.557949
hexspline_cl,70,1,108,885.247878,-184.322749
hexspline_cl,70,1,109,891.666667,-187.638837
hexspline_cl,70,1,110,897.752701,-191.531274
hexspline_cl,70,1,111,903.549383,-195.924883
hexspline_cl,70,1,112,909.114583,-200.719430
hexspline_cl,70,1,113,914.506173,-205.814679
hexspline_cl,70,1,114,919.782022,-211.110398
hexspline_cl,70,1,115,925.000000,-216.506351
hexspline_cl,70,1,116,930.217978,-221.902304
hexspline_cl,70,1,117,935.493827,-227.198023
hexspline_cl,70,1,118,940.885417,-232.293272
hexspline_cl,70,1,119,946.450617,-237.087819
hexspline_cl,70,1,120,952.247299,-241.481428
hexspline_cl,70,1,121,958.333333,-245.373864
hexspline_cl,70,1,122,964.752122,-248.689953
hexspline_cl,70,1,123,971.489198,-251.454753
hexspline_cl,70,1,124,978.515625,-253.718380
hexspline_cl,70,1,125,985.802469,-255.530952
hexspline_cl,70,1,126,993.320795,-256.942587
hexspline_cl,70,1,127,1001.041667,-258.003402
hexspline_cl,70,1,128,1008.936150,-258.763513
hexspline_cl,70,1,129,1016.975309,-259.273038
hexspline_cl,70,1,130,1025.130208,-259.582094
hexspline_cl,70,1,131,1033.371914,-259.740798
hexspline_cl,70,1,132,1041.671489,-259.799268
hexspline_cl,70,1,133,1050.000000,-259.807621
hexspline_cl,70,1,134,1058.333333,-259.807621
hexspline_cl,70,1,135,1066.666667,-259.807621
hexspline_cl,70,1,136,1075.000000,-259.807621
hexspline_cl,70,1,137,1083.333333,-259.807621
hexspline_cl,70,1,138,1091.666667,-259.807621
hexspline_cl,70,1,139,1100.000000,-259.807621
hexspline_cl,70,1,140,1108.333333,-259.807621
hexspline_cl,70,1,141,1116.666667,-259.807621
